file,category,domain,bytes,kb,lines,selectors,important_count,css_import_count,import_order,risk_score,risk_level,risk_reasons
styles/runtime-overrides/07a-products-modal-precision-cleanup.css,runtime-override,"Modals, Products",11244,10.98,367,55,105,0,131,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/07b-products-modal-responsive-polish.css,runtime-override,"Modals, Products",13221,12.91,555,113,114,0,132,12,critical,runtime override imported after index.css; very high !important count; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/07c-product-modal-apple-redesign.css,runtime-override,"Modals, Products",12928,12.62,558,89,20,0,133,9,high,runtime override imported after index.css; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/07d-product-category-supplier-management.css,runtime-override,Products,9683,9.46,434,72,21,0,134,7,medium,runtime override imported after index.css; medium selector surface; active imported CSS
styles/runtime-overrides/07e-product-list-table-density.css,runtime-override,"Products, Tables",4943,4.83,188,31,26,0,135,7,medium,runtime override imported after index.css; high !important count; active imported CSS
styles/runtime-overrides/07f-cross-module-density-pass.css,runtime-override,General/System,3014,2.94,131,24,23,0,136,5,medium,runtime override imported after index.css; active imported CSS
styles/runtime-overrides/08a-unified-table-actions.css,runtime-override,Tables,7880,7.7,242,21,52,0,137,7,medium,runtime override imported after index.css; high !important count; active imported CSS
styles/runtime-overrides/08b-message-composer-controls.css,runtime-override,General/System,22087,21.57,768,112,79,0,138,9,high,runtime override imported after index.css; high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/08c-customers-partners-headers.css,runtime-override,"Partners, Customers, Header",22560,22.03,706,103,343,0,139,12,critical,runtime override imported after index.css; very high !important count; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/08d-people-table-detail-contracts.css,runtime-override,"People, Tables",16881,16.49,558,92,240,0,140,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/08e-finance-modal-polish.css,runtime-override,Modals,2507,2.45,130,19,14,0,141,7,medium,runtime override imported after index.css; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09a-telegram-settings-foundation.css,runtime-override,"Telegram, Settings",22848,22.31,751,131,82,0,142,11,critical,runtime override imported after index.css; high !important count; medium selector surface; sensitive UI/business domain; active imported CSS
